Title;ID;Description;Date;Hour;Class;Price;Categoria;Tipo;Condomínio;IPTU;Área útil;Quartos;Banheiros;Vagas na garagem;Detalhes do imóvel;Detalhes do condominio;CEP;Município;Bairro;Logradouro;Link
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013695;Código do anúncio: 81047ML  Apartamento com 93m², 03 dormitórios, ambientes claros e arejados. ótima localização próximo das faculdades Belas Artes e ESPM  e a 700 metros da estação Vila Mariana do metrô. região com toda infraestrutura de comércio. venha conhecer!      . Pontos de Interesse mais Próximos:       Metrô VILA MARIANA a 574m.    Ponto de onibus a 52m.    Ciclovia VILA MARIANA, com extensão de 437m a uma distância de 50m.    Escola ETAPA III (ENEM: 706.12) a 1018m.    Parque MODERNISTA - CASA MODERNISTA (Área: 12682m) a 1144m.;16/12;15:05;professional;3399;Apartamentos;Aluguel - apartamento padrão;R$ 575;R$ 95;93m²;3;2;1;Área de serviço, Salão de festas;Salão de festas;04018033;São Paulo;Vila Mariana;Rua Humberto I - de 811/812 ao fim;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013695
SAO PAULO - Apartamento Padrão - VILA MARIANA;970013701;Código do anúncio: 142983ML  . Pontos de Interesse mais Próximos:       Metrô VILA MARIANA a 437m.    Ponto de onibus a 55m.    Ciclovia VILA MARIANA, com extensão de 45m a uma distância de 43m.    Escola POLIEDRO (ENEM: 673.38) a 638m.    Parque MODERNISTA - CASA MODERNISTA (Área: 12682m) a 915m.;16/12;15:05;professional;2699;Apartamentos;Aluguel - apartamento padrão;R$ 920;;84m²;2;2;1;Salão de festas, Academia, Área de serviço;Salão de festas, Academia;04117100;São Paulo;Vila Mariana;Rua Calixto da Mota;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013701
SAO PAULO - Apartamento Padrão - MIRANDOPOLIS;970013654;Código do anúncio: 133707ML  . Pontos de Interesse mais Próximos:       Metrô HOSPITAL SAO PAULO a 719m.    Ponto de onibus a 69m.    Ciclovia MIRANDOPOLIS, com extensão de 203m a uma distância de 254m.    Escola  CARANDA VIVA VIDA(ENEM: 652.75) a 961m.    Parque MODERNISTA - CASA MODERNISTA (Área: 12682m) a 1812m.;16/12;15:05;professional;1249;Apartamentos;Aluguel - apartamento padrão;R$ 400;R$ 350;24m²;1;1;0;Mobiliado;;04043200;São Paulo;Mirandópolis;Rua Luís Góis - de 1552 ao fim - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-mirandopolis-970013654
SAO PAULO - Apartamento Padrão - PARAISO;970013610;Código do anúncio: 145154ML  O apartamento tem 3 amplos quartos com armários, sendo uma suíte, 1 banheiro no corredor, 1 lavabo, sala ampla, arejada, cortinas na sala e em 2 quartos. Cozinha com armários embutidos, despensa com boas prateleiras, lavanderia com armário, ar condicionado na sala e no quarto de casal.Na parte da manhã, sol no quarto com suíte e segundo quarto, no  período da tarde, no terceiro quarto (escritório) e sala.   Reformas elétricas e hidráulica recentes.   Muito bem localizado na Rua Tutóia, perto da Av. Brigadeiro Luiz Antônio, Paulista (Metrô Brigadeiro), Parque Ibirapuera, Clube Circulo Militar, Av. 23 de Maio, farmácia, Shopping Paulista e Cidade São Paulo, mercado, bancos e padaria na mesma rua.;16/12;15:05;professional;5899;Apartamentos;Aluguel - apartamento padrão;R$ 990;R$ 380;109m²;3;2;1;Área de serviço;;04007000;São Paulo;Vila Mariana;Rua Tutóia - até 239/240;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-paraiso-970013610
SAO PAULO - Apartamento Padrão - VILA MARIANA;970013540;Código do anúncio: 145007ML  -;16/12;15:05;professional;2249;Apartamentos;Aluguel - apartamento padrão;R$ 631;R$ 34;53m²;2;1;1;Salão de festas, Academia, Piscina;Piscina, Salão de festas, Academia;04105001;São Paulo;Vila Mariana;Rua Doutor Nicolau de Sousa Queirós - de 219/220 a 535/536;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013540
SAO PAULO - Apartamento Padrão - VILA MARIANA;970013479;Código do anúncio: 143232ML  Apartamento próximo ao metrô Paraíso com 1 dormitório. Obs: ficará, fogão, geladeira e 1 cama.      . Pontos de Interesse mais Próximos:       Metrô PARAISO a 271m.    Ponto de onibus a 144m.    Ciclovia BERNARDINO DE CAMPOS, com extensão de 79m a uma distância de 177m.    Escola ETAPA III (ENEM: 706.12) a 497m.    Parque ACLIMACAO (Área: 136477m) a 1547m.;16/12;15:05;professional;1999;Apartamentos;Aluguel - apartamento padrão;R$ 350;R$ 65;39m²;1;1;0;;;04013002;São Paulo;Vila Mariana;Rua Cubatão - de 484 a 770 - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013479
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013485;Código do anúncio: 47900ML  Apartamento recém reformado com dois dormitórios sem vaga de garagem e próximo ao Metrô Ana Rosa.      . Pontos de Interesse mais Próximos:       Metrô VILA MARIANA a 437m.    Ponto de onibus a 51m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 20m.    Escola ETAPA III (ENEM: 706.12) a 758m.    Parque MODERNISTA - CASA MODERNISTA (Área: 12682m) a 1230m.;16/12;15:05;professional;1999;Apartamentos;Aluguel - apartamento padrão;R$ 600;R$ 50;49m²;2;1;0;;Elevador;04010100;São Paulo;Vila Mariana;Rua Domingos de Morais - de 514 a 1236 - lado par;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013485
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013342;Código do anúncio: 23954ML  Apartamento na Vila Mariana com 58m², 2 dormitórios, sala com varanda envidraçada, cozinha com móveis planejados e 1 vaga de garagem.      Localizado nas proximidades do parque da Aclimação e metrô Ana Rosa.      Condomínio com lazer completo:   - espaço fitness   - piscina e sauna   - espaço gourmet com churrasqueira e forno de pizza   - salão de festas   - salão de jogos   - playground   - quadra poliesportiva      Agende uma visita!      -       . Pontos de Interesse mais Próximos:       Metrô ANA ROSA a 856m.    Ponto de onibus a 102m.    Ciclovia CAMBUCI, com extensão de 340m a uma distância de 760m.    Escola GOMES CARDIM PROFESSOR(ENEM: 404.46) a 623m.    Parque ACLIMACAO (Área: 136477m) a 661m.;16/12;15:05;professional;2499;Apartamentos;Aluguel - apartamento padrão;R$ 980;R$ 300;57m²;2;1;1;Salão de festas, Academia, Piscina;Piscina, Salão de festas, Academia;04106001;São Paulo;Vila Mariana;;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013342
SAO PAULO - Apartamento Padrão - CHACARA KLABIN;970013331;Código do anúncio: 95675ML  Rua tranquila e arborizada apartamento de fundos, 3 dormitórios sendo 1 suíte, todo mobiliado, andar baixo, 2 vagas de garagem, prédio com lazer. Locação só com seguro fiança....      . Pontos de Interesse mais Próximos:       Metrô CHACARA KLABIN a 491m.    Ponto de onibus a 305m.    Ciclovia VILA MARIANA, com extensão de 45m a uma distância de 277m.    Escola POLIEDRO (ENEM: 673.38) a 1149m.    Parque MODERNISTA - CASA MODERNISTA (Área: 12682m) a 870m.;16/12;15:05;professional;3999;Apartamentos;Aluguel - apartamento padrão;R$ 1.450;R$ 614;108m²;3;3;2;Salão de festas, Academia, Varanda, Piscina;Piscina, Salão de festas, Academia;04116170;São Paulo;Jardim Vila Mariana;Rua Ernesto de Oliveira;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-chacara-klabin-970013331
SÃO PAULO - Apartamento Padrão - VILA MARIANA;970013311;Código do anúncio: 57614ML  Uma boa localização, o prédio fica ao lado de ponto de ônibus, bem próximo do metrô Paraíso, apartamento bem conservado.    Contate nossos corretores, obtenha maiores informações sobre este imóvel.   Com toda certeza na MARC você vai encontrar o imóvel que deseja.   ...      . Pontos de Interesse mais Próximos:       Metrô ANA ROSA a 428m.    Ponto de onibus a 30m.    Ciclovia LIBERDADE / VERGUEIRO, com extensão de 233m a uma distância de 441m.    Escola ARCY MAJOR(ENEM: 525.02) a 49m.    Parque ACLIMACAO (Área: 136477m) a 888m.;16/12;15:05;professional;1699;Apartamentos;Aluguel - apartamento padrão;R$ 483;;64m²;2;1;0;;Elevador;04105002;São Paulo;Vila Mariana;Rua Doutor Nicolau de Sousa Queirós - de 537/538 a 759/760;https://sp.olx.com.br/sao-paulo-e-regiao/imoveis/sao-paulo-apartamento-padrao-vila-mariana-970013311
